05/16/14 10:42:24.547 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 719744, inputRate = 724000, outputRate = 724000, receiveRate = 631848, qdelay = 11, rtt = 30, lossRatio = 0.007812 this=0x79239190 
05/16/14 10:42:29.569 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 730584, inputRate = 737040, outputRate = 735720, receiveRate = 737120, qdelay = 12, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:42:30.067 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 734232, inputRate = 738400, outputRate = 735720, receiveRate = 738400, qdelay = 14, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:42:35.091 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 745288, inputRate = 751280, outputRate = 748800, receiveRate = 751360, qdelay = 10, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:42:35.840 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 749008, inputRate = 752800, outputRate = 752048, receiveRate = 782912, qdelay = 10, rtt = 40, lossRatio = 0.007812 this=0x79239190 
05/16/14 10:42:40.856 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 758400, inputRate = 766400, outputRate = 764696, receiveRate = 766400, qdelay = 10, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:42:41.106 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 760296, inputRate = 766400, outputRate = 764696, receiveRate = 766400, qdelay = 10, rtt = 20, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:42:42.053 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_RTT_INC, bandwidth = 760296, inputRate = 753440, outputRate = 766464, receiveRate = 609792, qdelay = 94, rtt = 160, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:42:42.375 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 762192, inputRate = 782560, outputRate = 768000, receiveRate = 767304, qdelay = 61, rtt = 160, lossRatio = 0.007812 this=0x79239190 
05/16/14 10:42:43.257 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_RTT_INC, bandwidth = 762192, inputRate = 784256, outputRate = 761928, receiveRate = 782688, qdelay = 61, rtt = 180, lossRatio = 0.007812 this=0x79239190 
05/16/14 10:42:43.567 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 764096, inputRate = 784256, outputRate = 761928, receiveRate = 923536, qdelay = 10, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:42:45.288 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_RTT_INC, bandwidth = 766000, inputRate = 773440, outputRate = 772704, receiveRate = 772496, qdelay = 89, rtt = 130, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:42:46.707 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 767912, inputRate = 773600, outputRate = 773616, receiveRate = 1021168, qdelay = 41, rtt = 40, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:42:51.879 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 775600, inputRate = 782464, outputRate = 781600, receiveRate = 798528, qdelay = 11, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:42:52.633 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 777536, inputRate = 783248, outputRate = 782856, receiveRate = 783232, qdelay = 12, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:42:57.688 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_HOLD, bandwidth = 783368, inputRate = 791200, outputRate = 789960, receiveRate = 775680, qdelay = 10, rtt = 30, lossRatio = 0.000000 this=0x79239190 
05/16/14 10:42:57.951 - QOS INFO: CBandwidthEvaluator::Adjustment, groupKey = , state = BANDWIDTH_UP, bandwidth = 785320, inputRate = 791200, outputRate = 789960, receiveRate = 791200, qdelay = 11, rtt = 30, lossRatio = 0.000000 this=0x79239190 
